,Unidade Territorial,Referência,TAC
610,MINAS GERAIS,2017-02-01,73.34
611,ESPÍRITO SANTO,2017-02-01,66.56
612,RIO DE JANEIRO,2017-02-01,69.82
613,SÃO PAULO,2017-02-01,70.59
614,PARANÁ,2017-02-01,72.78
615,SANTA CATARINA,2017-02-01,65.17
616,RIO GRANDE DO SUL,2017-02-01,66.54
617,MATO GROSSO DO SUL,2017-02-01,68.08
618,MATO GROSSO,2017-02-01,69.08
619,GOIÁS,2017-02-01,70.98
620,DISTRITO FEDERAL,2017-02-01,59.06
621,RONDÔNIA,2017-03-01,64.56
622,ACRE,2017-03-01,77.89
623,AMAZONAS,2017-03-01,72.94
624,RORAIMA,2017-03-01,74.06
625,PARÁ,2017-03-01,74.25
626,AMAPÁ,2017-03-01,76.21
